Date,Open,High,Low,Close,Adj Close,Volume
5/2/2019,245.880005,260.820007,245.5,255.539993,255.539993,4054200
5/3/2019,259,266.399994,254.789993,264.029999,264.029999,3349900
5/6/2019,257.200012,266.720001,255.119995,265.519989,265.519989,2916900
5/7/2019,264.359985,266.5,254.699997,258.690002,258.690002,2589400
5/8/2019,258.700012,264.619995,257.51001,261.51001,261.51001,1847500
5/9/2019,258.880005,261.359985,254.119995,260.619995,260.619995,1831000
5/10/2019,260.429993,262.98999,252.639999,258.829987,258.829987,1674900
5/13/2019,247.910004,253.063004,245.619995,250.789993,250.789993,1938800
5/14/2019,245,254.020004,242.229996,253.149994,253.149994,2097100
5/15/2019,250.610001,265.420013,250.039993,264.160004,264.160004,1931600
5/16/2019,265.359985,279.480011,265.100006,278.01001,278.01001,2975700
5/17/2019,276.679993,279.440002,271.579987,273.5,273.5,1667200
5/20/2019,270.029999,273,264.73999,267.190002,267.190002,1856100
5/21/2019,272.040009,273.597992,269.51001,272.809998,272.809998,1110400
5/22/2019,271.709991,280.950012,271.390015,279,279,1252000
5/23/2019,275,277.980011,268,271.619995,271.619995,1530300
5/24/2019,274.5,278.880005,272.515015,275.850006,275.850006,1163400
5/28/2019,278.350006,285.959991,278.299988,282.429993,282.429993,1538900
5/29/2019,280,280.299988,270.519989,272.679993,272.679993,1673800
5/30/2019,275.100006,277.820007,270.799988,277.049988,277.049988,1290900
5/31/2019,273.359985,278.970001,272.160004,274.899994,274.899994,1087800
6/3/2019,274.279999,277.51001,262.170013,265,265,2535800
6/4/2019,268.470001,274.100006,264.109985,274,274,1603000
6/5/2019,277.220001,292.859985,277.119995,292.519989,292.519989,2342100
6/6/2019,291.839996,299.109985,289.01001,297.059998,297.059998,1867300
6/7/2019,298.660004,309.369995,298.399994,305.049988,305.049988,2344700
6/10/2019,309.149994,315.600006,304.440002,306.730011,306.730011,1716100
6/11/2019,309.600006,311.51001,298.570007,306.709991,306.709991,1847800
6/12/2019,304.480011,312.700012,302,310.140015,310.140015,1124000
6/13/2019,312.910004,314.095001,305.640015,306.98999,306.98999,1043400
6/14/2019,305.410004,306.420013,301.940002,305.109985,305.109985,751000
6/17/2019,304.450012,307.880005,303.049988,305.850006,305.850006,703500
6/18/2019,310,311.380005,303.73999,304.209991,304.209991,1104900
6/19/2019,305.51001,327.690002,302.399994,327.019989,327.019989,2980200
6/20/2019,331.5,338.940002,326,328.01001,328.01001,3108800
6/21/2019,328,331.369995,324.100006,326.850006,326.850006,1446000
6/24/2019,323.339996,324.480011,311.049988,311.829987,311.829987,2179600
6/25/2019,306.98999,309.630005,281.75,284.040009,284.040009,4953000
6/26/2019,289.019989,295.519989,281.690002,289.029999,289.029999,2334000
6/27/2019,290.5,302.440002,289.5,300.959991,300.959991,1814500
